hero1,hero2
NOMAD III/JACK MONRO,"COOPER, DR. VALERIE"
NIGHTHAWK/KYLE RICHM,HELLSTORM/DAIMON HEL
"CORNELIUS, DR.",MAVERICK/CHRISTOPHER
BLACK BOLT/BLACKANTO,TRITON
ROGUE /,HAVOK/ALEX SUMMERS 
LOKI [ASGARDIAN],SCARLET WITCH/WANDA
NIGHTCRAWLER/KURT WA,"WILFORD, BONNIE"
AJAK/TECUMOTZIN [ETE,ARABIAN KNIGHT/ABDUL
BEDLAM/JESSE AARONSO,DOMINO III/BEATRICE/
STORM/ORORO MUNROE S,ICEMAN/ROBERT BOBBY
MORDRED THE EVIL,QUASAR III/WENDELL V
THOR/DR. DONALD BLAK,HUMAN TORCH/JOHNNY S
SHADOWCAT/KATHERINE ,KYMRI
SHE-HULK/JENNIFER WA,VOLSTAGG
ZABU,SHANNA/SHANNA O'HARA
TOAD/MORTIMER TOYNBE,SHATTERSTAR II/GAVEE
DAREDEVIL/MATT MURDO,"JONES, RICHARD MILHO"
HOBGOBLIN V/JASON PH,SPIDER-MAN/PETER PARKER
PESTILENCE/CAPT. F.R,NORTHSTAR/JEAN-PAUL 
"MCKEEVER, TINY",THING/BENJAMIN J. GR
"SUMMERS, MADELYNE MA",BARBARUS
SPIDER-MAN/PETER PARKER,WRECKER III/DIRK GAR
SAMEDAR,CORSAIR
ABOMINATION/EMIL BLO,STRANGER
HODER [ASGARDIAN],ZEUS
CONSTRICTOR/FRANK PA,BLUE STREAK/
WONG,SILVER SURFER/NORRIN
MARVEL GIRL/JEAN GRE,JUBILEE/JUBILATION L
MR. FANTASTIC/REED R,"BEL-DANN, GEN."
GHOST GIRL/,DYNA-MITE/ROGER AUBR
ARRANGER/,HIGH EVOLUTIONARY/HE
KUROKO/,CYBERTOOTH/YEN HSIEH
SHE-HULK/JENNIFER WA,MR. FANTASTIC/REED R
"FAIRMONT, HANNAH",DESIGNATE/TARENE
THOR/DR. DONALD BLAK,KARNAK [INHUMAN]
LOKI [ASGARDIAN],DR. DOOM/VICTOR VON 
VOLSTAGG,BLACK KNIGHT V/DANE 
DAREDEVIL/MATT MURDO,BLACK WIDOW/NATASHA 
ARIES II/GROVER RAYM,BLACK PANTHER/T'CHAL
SLAB/KRIS ANDERSON,STROBE/
CAPTAIN BRITAIN/BRIA,MOONSTONE II/KARLA S
THING/BENJAMIN J. GR,DAZZLER II/ALLISON B
IRON MAN/TONY STARK,THING/BENJAMIN J. GR
"LOMENZO, NICOLE",BOOMER/TABITHA SMITH
"JAMESON, J. JONAH","URICH, BEN"
MEDUSA/MEDUSALITH AM,BALDER [ASGARDIAN]
SCARLET WITCH/WANDA,CYCLOPS/SCOTT SUMMER
SPIDER-MAN CLONE/BEN,REINHOLDT
SIBERION,"VONYA, DR. ANATOLY"
"GREY, ELAINE",CANNONBALL II/SAM GU
NUKLO/ROBERT FRANK J,MOONSTONE II/KARLA S
MENTALLO,HAWK
MOONDRAGON/HEATHER D,KISMET/J'RIDIA STARD
JEMIAH,"RICHARDS, FRANKLIN 2"
"TANAKA, KENJIRO",ARCANNA/ARCANNA JONE
ARABIAN KNIGHT/ABDUL,LUNA/LUNA MAXIMOFF [
HAWK,CLEA
KLAW/ULYSSES KLAW,RAMSHOT/
ANTHROMORPHO,THUNDERSTRIKE/ERIC K
MAGMA/AMARA AQUILLA/,BRIGHTWIND
BEAST/HENRY &HANK& P,CAPTAIN AMERICA V/RO
CANNONBALL II/SAM GU,ANGEL/WARREN KENNETH
"GLENN, HEATHER",TURK
BALDER [ASGARDIAN],HEIMDALL [ASGARDIAN]
TITANIA II/MARY SKEE,HYDROMAN/MORRIE BENC
EENY,MEANY
LIVING LIGHTNING/MIG,STRONG GUY/GUIDO CAR
"CARTER, SHARON",USAGENT/CAPTAIN JOHN
VOLSTAGG,SIF
CITIZEN V II/HELMUT,SPIDER-MAN/PETER PARKER
CH'OD,COLOSSUS II/PETER RA
"JAMESON, MARLA MADIS",SPIDER-MAN/PETER PARKER
HAWK,BLACK PANTHER/T'CHAL
MINOTAUR II,"SITWELL, JASPER"
BLIZZARD II/DONALD G,JOLT/HALLIE TAKAHAMA
HERCULES [GREEK GOD],BINARY/CAROL DANVERS
DEATH ADDER,EL JAGUAR
"HSU, CHEN",MANDARIN
"SCRATCH, NICHOLAS","NORRISS, SISTER BARB"
MARVEL GIRL/JEAN GRE,ANGEL/WARREN KENNETH
THOR/DR. DONALD BLAK,FANDRAL [ASGARDIAN]
"FROST, CORDELIA",PENANCE/MONET ST. CR
PROFESSOR X/CHARLES ,BLOB/FRED J. DUKES
ARACHNE,LILANDRA NERAMANI [S
AVALANCHE/DOMINIC PE,COLOSSUS 2013
"LE FEY, MORGAN",VALINOR
BRIGHTSWORD/CARTER D,CADUCEUS
WOLVERINE/LOGAN,HAVOK/ALEX SUMMERS 
SHAMROCK/MOLLY FITZG,CAPTAIN BRITAIN/BRIA
ANGEL/WARREN KENNETH,BEAST/HENRY &HANK& P
COLOSSUS II/PETER RA,ROGUE /
WOLVERINE/LOGAN,"GREY, DR. JOHN"
IRON MAN/TONY STARK,TEXAS TWISTER/DREW D
MONGOOSE,"ASBERY, SHAMARI"
WONDER MAN/SIMON WIL,"SITWELL, JASPER"
"LYNN, NORMA",DELILAH
FALCON/SAM WILSON,MADCAP
TIGRA/GREER NELSON,WOLVERINE/LOGAN
LIVING LIGHTNING/MIG,DAREDEVIL/MATT MURDO
USAGENT/CAPTAIN JOHN,MARVEL GIRL/JEAN GRE
BOOMER/TABITHA SMITH,SAUL
STORM/ORORO MUNROE S,QUICKSILVER/PIETRO M
ICEMAN/ROBERT BOBBY,DARKSTAR/LAYNIA SERG
KLAW/ULYSSES KLAW,THING/BENJAMIN J. GR
IGOR,BLACK KNIGHT V STATU
BROTHERS GRIMM II/BA,WASP/JANET VAN DYNE 
NIGHTCRAWLER/KURT WA,"MACTAGGERT, MOIRA KI"
"CASSADA, MICHAEL","LEEDS, NED"
WHITE QUEEN/EMMA FRO,ABSORBING MAN/CARL C
"MACTAGGERT, MOIRA KI",WHITE QUEEN/EMMA FRO
GAMBIT/REMY LEBEAU,PROFESSOR X/CHARLES 
WASP/JANET VAN DYNE ,HOTSHOT/LOUIS
"LEBEAU, JEAN-LUC","BOUDREAUX, BELLA DON"
LIVEWIRE/RANCE PREST,FRIDAY
"BALLANTINE, KAYLA",CROSSBONES/BROCK BIN
MIRAGE II/DANIELLE M,CHAMBER/JONOTHON STA
HELLEN,"FREDERICKS, GENERAL"
TURBO II (A)/MICHIKO,"MUTO, JUNZO"
"THOMPSON, EUGENE FLA","OSBORN, LIZ ALLAN"
VISION,DINAH-SOAR
"JAMESON, COL. JOHN ","STACY, GWEN"
MS. MARVEL II/SHARON,BLACK CAT/FELICIA HA
NAMORITA/NITA PRENTI,ABRAXAS
WOLFSBANE/RAHNE SINC,MIRAGE II/DANIELLE M
ICEMAN/ROBERT BOBBY,"SOUTHERN, CANDY"
"BRIDGE, GEORGE WASHI",PHOENIX III/RACHEL S
MOON KNIGHT/MARC SPE,SCORPIO II
ULTRON,WOLVERINE/LOGAN
WOLVERINE/LOGAN,SALVO
CAPTAIN MARVEL/CAPTA,"JONES, RICHARD MILHO"
IRON MAN/TONY STARK,ANT-MAN/DR. HENRY J.
SHROUD/MAXIMILLIAN Q,CAT II
LILANDRA NERAMANI [S,BETA RAY BILL
PILEDRIVER II/BRIAN,BINARY/CAROL DANVERS
BEEFER,"BLAIRE, CARTER"
PYRO/ALLERDYCE JOHNN,SPIDER-WOMAN II/JULI
NEKRA/ADRIENNE HATRO,"O'HARA, ROBERT IRONG"
ARCLIGHT/PHILLIPA SO,HAVOK/ALEX SUMMERS 
LEGION II/DAVID HALL,FORGE
MARVEL GIRL/JEAN GRE,SIRYN/THERESA ROURKE
"HALLER, GABRIELLE",MIRAGE II/DANIELLE M
WONG,RINTRAH
"OSBORN, HARRY","STACY, GWEN"
"PATILIO, MARIE",FROG-MAN II/EUGENE P
PUPPET MASTER/PHILLI,SASQUATCH/WALTER LAN
HOGUN [ASGARDIAN],TANA NILE
NORTHSTAR/JEAN-PAUL ,PUCK/EUGENE MILTON J
VOLLA,EXECUTIONER II/SKURG
IRON MAN/TONY STARK,VISION
FANDRAL [ASGARDIAN],HIGH EVOLUTIONARY/HE
HERCULES [GREEK GOD],BYRRAH [ATLANTEAN]
STARFOX/EROS,MOON KNIGHT/MARC SPE
"FRIEDLANDER, SHARON",MAGMA/AMARA AQUILLA/
"DUGAN, TIMOTHY ALOYI","FURY, COL. NICHOLAS"
"STACY, CAPT. GEORGE","WATSON-PARKER, MARY "
VOR/TEX,IRON MAN/TONY STARK
HUMAN TORCH/JOHNNY S,SCARLET WITCH/WANDA
PROFESSOR X/CHARLES ,STORM/ORORO MUNROE S
"HATCHWAY, VERNON",FIXER II/PAUL NORBER
"THOMPSON, EUGENE FLA",JACK O'LANTERN II/MA
QUASAR III/WENDELL V,3-D MAN/CHARLES CHAN
THOR/DR. DONALD BLAK,SILVER SURFER/NORRIN
GAMBIT/REMY LEBEAU,BANSHEE/SEAN CASSIDY
SKIN/ANGELO ESPINOSA,CHAMBER/JONOTHON STA
HILDEGARDE [ASGARDIA,GENII/JASON KIMBALL
MALEKITH/MALCOLM KEI,LORELEI II/MELODI [A
"NORRISS, SISTER BARB","BLESSING, MORGANA"
NIGHTCRAWLER/KURT WA,WOLVERINE/LOGAN
STORM/ORORO MUNROE S,SKIDS/SALLY BLEVINS
"DAMIAN, MARGO",IKARIS/IKE HARRIS [E
ETERNITY/ADAM QADMON,"HUDSON, HEATHER"
WOLVERINE/LOGAN,ALBERT
WARLOCK III,HELA [ASGARDIAN]
HAVOK/ALEX SUMMERS ,MYSTIQUE/RAVEN DARKH
MOON KNIGHT/MARC SPE,ARIA
DRAX/ARTHUR DOUGLAS,BEAST/HENRY &HANK& P
SCREAM,OGRE
KASPIN,SHULK
"SUMMERS, SCOTT III |",BLOODSTORM | MUTANT 
AURORA/JEANNE-MARIE ,WEAPON X III
THING/BENJAMIN J. GR,SCARLET WITCH/WANDA
CAPTAIN AMERICA,BLACK KNIGHT V/DANE 
"JONES, MARLO CHANDLE",LEADER/SAM STERNS
TOAD/MORTIMER TOYNBE,HERCULES [GREEK GOD]
UMAR,GAEA
RINTRAH,BLACK WIDOW/NATASHA 
"TALBOT, GLENN",HULK/DR. ROBERT BRUC
CAPTAIN AMERICA,"GYRICH, HENRY PETER"
CAPTAIN AMERICA,BINARY/CAROL DANVERS
SILVER SURFER/NORRIN,BLACK WIDOW/NATASHA 
"SZARDOS, MARGALI",STARFOX/EROS
SHADOWCAT/KATHERINE ,KATH
IRON MAN IV/JAMES R.,CYCLOPS/SCOTT SUMMER
SERSI/SYLVIA,GYPSY MOTH
FURGAR,LLYRON
JUBILEE/JUBILATION L,QUICKSILVER/PIETRO M
"CHORD, ANDREW",FIRESTAR/ANGELICA JO
TORPEDO III/BROCK JO,BOULDER/
"KELLY, SEN. ROBERT E",NANNY II
MERCURY III/,WOLVERINE/LOGAN
